GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0048678	response to axon injury (GO:0048678)	58	6	3.41	+	1.76	1.69E-01	6.88E-01
GO:0050951	sensory perception of temperature stimulus (GO:0050951)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0043583	ear development (GO:0043583)	232	24	13.62	+	1.76	1.24E-02	1.50E-01
GO:0043407	negative regulation of MAP kinase activity (GO:0043407)	58	6	3.41	+	1.76	1.69E-01	6.88E-01
GO:0048265	response to pain (GO:0048265)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0035640	exploration behavior (GO:0035640)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0016358	dendrite development (GO:0016358)	116	12	6.81	+	1.76	7.65E-02	4.81E-01
GO:0030514	negative regulation of BMP signaling pathway (GO:0030514)	58	6	3.41	+	1.76	1.69E-01	6.87E-01
GO:0010800	positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0042133	neurotransmitter metabolic process (GO:0042133)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:1904036	negative regulation of epithelial cell apoptotic process (GO:1904036)	58	6	3.41	+	1.76	1.69E-01	6.87E-01
GO:0008209	androgen metabolic process (GO:0008209)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0060795	cell fate commitment involved in formation of primary germ layer (GO:0060795)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0003209	cardiac atrium morphogenesis (GO:0003209)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0034369	plasma lipoprotein particle remodeling (GO:0034369)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0034368	protein-lipid complex remodeling (GO:0034368)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0097066	response to thyroid hormone (GO:0097066)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0048869	cellular developmental process (GO:0048869)	3542	366	207.99	+	1.76	4.57E-27	4.21E-24
GO:0098739	import across plasma membrane (GO:0098739)	155	16	9.10	+	1.76	4.14E-02	3.28E-01
GO:0030154	cell differentiation (GO:0030154)	3519	363	206.64	+	1.76	1.21E-26	1.05E-23
GO:0007423	sensory organ development (GO:0007423)	582	60	34.18	+	1.76	7.33E-05	2.18E-03
GO:0050801	ion homeostasis (GO:0050801)	534	55	31.36	+	1.75	1.61E-04	4.20E-03
GO:0055082	cellular chemical homeostasis (GO:0055082)	534	55	31.36	+	1.75	1.61E-04	4.20E-03
GO:0045600	positive regulation of fat cell differentiation (GO:0045600)	68	7	3.99	+	1.75	1.96E-01	7.62E-01
GO:0071300	cellular response to retinoic acid (GO:0071300)	68	7	3.99	+	1.75	1.96E-01	7.62E-01
GO:0035065	regulation of histone acetylation (GO:0035065)	68	7	3.99	+	1.75	1.96E-01	7.61E-01
GO:0006873	cellular ion homeostasis (GO:0006873)	428	44	25.13	+	1.75	7.32E-04	1.55E-02
GO:0043473	pigmentation (GO:0043473)	107	11	6.28	+	1.75	1.01E-01	5.77E-01
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	146	15	8.57	+	1.75	5.37E-02	3.88E-01
GO:1901698	response to nitrogen compound (GO:1901698)	1062	109	62.36	+	1.75	8.51E-08	4.80E-06
GO:0030203	glycosaminoglycan metabolic process (GO:0030203)	117	12	6.87	+	1.75	7.80E-02	4.90E-01
GO:0006970	response to osmotic stress (GO:0006970)	78	8	4.58	+	1.75	1.48E-01	6.75E-01
GO:0006636	unsaturated fatty acid biosynthetic process (GO:0006636)	39	4	2.29	+	1.75	3.00E-01	9.02E-01
GO:0072089	stem cell proliferation (GO:0072089)	78	8	4.58	+	1.75	1.48E-01	6.75E-01
GO:0014037	Schwann cell differentiation (GO:0014037)	39	4	2.29	+	1.75	3.00E-01	9.02E-01
GO:0044264	cellular polysaccharide metabolic process (GO:0044264)	78	8	4.58	+	1.75	1.48E-01	6.75E-01
GO:0030866	cortical actin cytoskeleton organization (GO:0030866)	39	4	2.29	+	1.75	3.00E-01	9.02E-01
GO:0010907	positive regulation of glucose metabolic process (GO:0010907)	39	4	2.29	+	1.75	3.00E-01	9.02E-01
GO:0046785	microtubule polymerization (GO:0046785)	39	4	2.29	+	1.75	3.00E-01	9.02E-01
GO:0007267	cell-cell signaling (GO:0007267)	1083	111	63.59	+	1.75	7.54E-08	4.28E-06
GO:0048585	negative regulation of response to stimulus (GO:0048585)	1620	166	95.13	+	1.75	2.19E-11	2.60E-09
GO:0072330	monocarboxylic acid biosynthetic process (GO:0072330)	166	17	9.75	+	1.74	3.38E-02	2.93E-01
GO:0070372	regulation of ERK1 and ERK2 cascade (GO:0070372)	303	31	17.79	+	1.74	5.17E-03	7.67E-02
GO:0035264	multicellular organism growth (GO:0035264)	88	9	5.17	+	1.74	1.15E-01	5.71E-01
GO:0010469	regulation of signaling receptor activity (GO:0010469)	176	18	10.33	+	1.74	3.80E-02	3.21E-01
GO:0120036	plasma membrane bounded cell projection organization (GO:0120036)	1115	114	65.47	+	1.74	5.51E-08	3.19E-06
GO:0030003	cellular cation homeostasis (GO:0030003)	411	42	24.13	+	1.74	1.18E-03	2.33E-02
GO:0033628	regulation of cell adhesion mediated by integrin (GO:0033628)	49	5	2.88	+	1.74	2.24E-01	7.87E-01
GO:2000648	positive regulation of stem cell proliferation (GO:2000648)	49	5	2.88	+	1.74	2.24E-01	7.87E-01
GO:0051952	regulation of amine transport (GO:0051952)	98	10	5.75	+	1.74	9.22E-02	5.41E-01
GO:2000404	regulation of T cell migration (GO:2000404)	49	5	2.88	+	1.74	2.24E-01	7.86E-01
GO:0035305	negative regulation of dephosphorylation (GO:0035305)	49	5	2.88	+	1.74	2.24E-01	7.86E-01
GO:0046364	monosaccharide biosynthetic process (GO:0046364)	49	5	2.88	+	1.74	2.24E-01	7.86E-01
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	206	21	12.10	+	1.74	1.93E-02	2.01E-01
GO:0022604	regulation of cell morphogenesis (GO:0022604)	314	32	18.44	+	1.74	4.30E-03	6.71E-02
GO:0001841	neural tube formation (GO:0001841)	108	11	6.34	+	1.73	1.02E-01	5.86E-01
GO:0006954	inflammatory response (GO:0006954)	540	55	31.71	+	1.73	2.47E-04	6.00E-03
GO:0051248	negative regulation of protein metabolic process (GO:0051248)	1042	106	61.19	+	1.73	1.95E-07	1.05E-05
GO:0002444	myeloid leukocyte mediated immunity (GO:0002444)	59	6	3.46	+	1.73	1.75E-01	7.04E-01
GO:0040029	epigenetic regulation of gene expression (GO:0040029)	118	12	6.93	+	1.73	7.97E-02	5.00E-01
GO:0043666	regulation of phosphoprotein phosphatase activity (GO:0043666)	59	6	3.46	+	1.73	1.75E-01	7.04E-01
GO:0120193	tight junction organization (GO:0120193)	59	6	3.46	+	1.73	1.75E-01	7.04E-01
GO:0070887	cellular response to chemical stimulus (GO:0070887)	2616	266	153.61	+	1.73	5.43E-18	1.89E-15
GO:0006022	aminoglycan metabolic process (GO:0006022)	128	13	7.52	+	1.73	6.35E-02	4.35E-01
GO:0030097	hemopoiesis (GO:0030097)	660	67	38.76	+	1.73	4.69E-05	1.48E-03
GO:2000401	regulation of lymphocyte migration (GO:2000401)	69	7	4.05	+	1.73	1.99E-01	7.71E-01
GO:0061371	determination of heart left/right asymmetry (GO:0061371)	69	7	4.05	+	1.73	1.99E-01	7.71E-01
GO:0001818	negative regulation of cytokine production (GO:0001818)	286	29	16.79	+	1.73	8.51E-03	1.11E-01
GO:0070374	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	217	22	12.74	+	1.73	2.15E-02	2.18E-01
GO:0050878	regulation of body fluid levels (GO:0050878)	375	38	22.02	+	1.73	2.21E-03	3.91E-02
GO:0048856	anatomical structure development (GO:0048856)	5144	521	302.06	+	1.72	3.26E-40	5.11E-36
GO:0001701	in utero embryonic development (GO:0001701)	395	40	23.19	+	1.72	1.95E-03	3.53E-02
GO:0018210	peptidyl-threonine modification (GO:0018210)	79	8	4.64	+	1.72	1.52E-01	6.89E-01
GO:0046425	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	79	8	4.64	+	1.72	1.52E-01	6.89E-01
GO:0072676	lymphocyte migration (GO:0072676)	79	8	4.64	+	1.72	1.52E-01	6.89E-01
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	168	17	9.87	+	1.72	3.57E-02	3.05E-01
GO:0032092	positive regulation of protein binding (GO:0032092)	89	9	5.23	+	1.72	1.19E-01	5.84E-01
GO:1900182	positive regulation of protein localization to nucleus (GO:1900182)	89	9	5.23	+	1.72	1.19E-01	5.84E-01
GO:0035023	regulation of Rho protein signal transduction (GO:0035023)	89	9	5.23	+	1.72	1.19E-01	5.84E-01
GO:0009968	negative regulation of signal transduction (GO:0009968)	1257	127	73.81	+	1.72	1.81E-08	1.12E-06
GO:0042472	inner ear morphogenesis (GO:0042472)	109	11	6.40	+	1.72	1.04E-01	5.82E-01
GO:0048705	skeletal system morphogenesis (GO:0048705)	228	23	13.39	+	1.72	1.75E-02	1.88E-01
GO:1901800	positive regulation of proteasomal protein catabolic process (GO:1901800)	119	12	6.99	+	1.72	8.15E-02	5.08E-01
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	139	14	8.16	+	1.72	7.22E-02	4.67E-01
GO:0030833	regulation of actin filament polymerization (GO:0030833)	139	14	8.16	+	1.72	7.22E-02	4.66E-01
GO:0097529	myeloid leukocyte migration (GO:0097529)	139	14	8.16	+	1.72	7.22E-02	4.66E-01
GO:0007584	response to nutrient (GO:0007584)	149	15	8.75	+	1.71	5.66E-02	3.99E-01
GO:0042445	hormone metabolic process (GO:0042445)	209	21	12.27	+	1.71	2.80E-02	2.55E-01
GO:0009314	response to radiation (GO:0009314)	449	45	26.37	+	1.71	1.33E-03	2.55E-02
GO:0010648	negative regulation of cell communication (GO:0010648)	1357	136	79.68	+	1.71	7.25E-09	4.90E-07
GO:0030155	regulation of cell adhesion (GO:0030155)	789	79	46.33	+	1.71	1.41E-05	5.01E-04
GO:0002643	regulation of tolerance induction (GO:0002643)	20	2	1.17	+	1.70	3.47E-01	9.84E-01
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0033762	response to glucagon (GO:0033762)	20	2	1.17	+	1.70	3.47E-01	9.84E-01
GO:1903242	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0019433	triglyceride catabolic process (GO:0019433)	20	2	1.17	+	1.70	3.47E-01	9.84E-01
GO:0002579	positive regulation of antigen processing and presentation (GO:0002579)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0045657	positive regulation of monocyte differentiation (GO:0045657)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0046085	adenosine metabolic process (GO:0046085)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0002467	germinal center formation (GO:0002467)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0033572	transferrin transport (GO:0033572)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1903078	positive regulation of protein localization to plasma membrane (GO:1903078)	60	6	3.52	+	1.70	1.82E-01	7.17E-01
GO:1903069	regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0001973	G protein-coupled adenosine receptor signaling pathway (GO:0001973)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0001915	negative regulation of T cell mediated cytotoxicity (GO:0001915)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060245	detection of cell density (GO:0060245)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1902513	regulation of organelle transport along microtubule (GO:1902513)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006700	C21-steroid hormone biosynthetic process (GO:0006700)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0071711	basement membrane organization (GO:0071711)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0033483	gas homeostasis (GO:0033483)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0007176	regulation of epidermal growth factor-activated receptor activity (GO:0007176)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:1902473	regulation of protein localization to synapse (GO:1902473)	20	2	1.17	+	1.70	3.47E-01	9.84E-01
GO:0002292	T cell differentiation involved in immune response (GO:0002292)	40	4	2.35	+	1.70	3.07E-01	9.16E-01
GO:0006646	phosphatidylethanolamine biosynthetic process (GO:0006646)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1901977	negative regulation of cell cycle checkpoint (GO:1901977)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0001782	B cell homeostasis (GO:0001782)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0001767	establishment of lymphocyte polarity (GO:0001767)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060080	inhibitory postsynaptic potential (GO:0060080)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:2000563	positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060075	regulation of resting membrane potential (GO:0060075)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006560	proline metabolic process (GO:0006560)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1901856	negative regulation of cellular respiration (GO:1901856)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)	20	2	1.17	+	1.70	3.47E-01	9.84E-01
GO:1902224	ketone body metabolic process (GO:1902224)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0071476	cellular hypotonic response (GO:0071476)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0014048	regulation of glutamate secretion (GO:0014048)	20	2	1.17	+	1.70	3.47E-01	9.83E-01
GO:0071421	manganese ion transmembrane transport (GO:0071421)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0045136	development of secondary sexual characteristics (GO:0045136)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0032691	negative regulation of interleukin-1 beta production (GO:0032691)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:2000352	negative regulation of endothelial cell apoptotic process (GO:2000352)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0032653	regulation of interleukin-10 production (GO:0032653)	60	6	3.52	+	1.70	1.82E-01	7.17E-01
GO:0071394	cellular response to testosterone stimulus (GO:0071394)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006312	mitotic recombination (GO:0006312)	20	2	1.17	+	1.70	3.47E-01	9.83E-01
GO:0033034	positive regulation of myeloid cell apoptotic process (GO:0033034)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0033007	negative regulation of mast cell activation involved in immune response (GO:0033007)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006266	DNA ligation (GO:0006266)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006265	DNA topological change (GO:0006265)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0006264	mitochondrial DNA replication (GO:0006264)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0071243	cellular response to arsenic-containing substance (GO:0071243)	20	2	1.17	+	1.70	3.47E-01	9.83E-01
GO:1901538	changes to DNA methylation involved in embryo development (GO:1901538)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0099527	postsynapse to nucleus signaling pathway (GO:0099527)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:2000109	regulation of macrophage apoptotic process (GO:2000109)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0048733	sebaceous gland development (GO:0048733)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0048708	astrocyte differentiation (GO:0048708)	60	6	3.52	+	1.70	1.82E-01	7.17E-01
GO:0048703	embryonic viscerocranium morphogenesis (GO:0048703)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0032369	negative regulation of lipid transport (GO:0032369)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0032353	negative regulation of hormone biosynthetic process (GO:0032353)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1901386	negative regulation of voltage-gated calcium channel activity (GO:1901386)	20	2	1.17	+	1.70	3.47E-01	9.83E-01
GO:0070584	mitochondrion morphogenesis (GO:0070584)	20	2	1.17	+	1.70	3.47E-01	9.83E-01
GO:0048680	positive regulation of axon regeneration (GO:0048680)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0048645	animal organ formation (GO:0048645)	40	4	2.35	+	1.70	3.07E-01	9.16E-01
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0070498	interleukin-1-mediated signaling pathway (GO:0070498)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:1901203	positive regulation of extracellular matrix assembly (GO:1901203)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0090009	primitive streak formation (GO:0090009)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0032107	regulation of response to nutrient levels (GO:0032107)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0032104	regulation of response to extracellular stimulus (GO:0032104)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0043653	mitochondrial fragmentation involved in apoptotic process (GO:0043653)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0070327	thyroid hormone transport (GO:0070327)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0036444	calcium import into the mitochondrion (GO:0036444)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0032025	response to cobalt ion (GO:0032025)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0050665	hydrogen peroxide biosynthetic process (GO:0050665)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1904953	Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0036344	platelet morphogenesis (GO:0036344)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:0048304	positive regulation of isotype switching to IgG isotypes (GO:0048304)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0035878	nail development (GO:0035878)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0051017	actin filament bundle assembly (GO:0051017)	60	6	3.52	+	1.70	1.82E-01	7.17E-01
GO:1900424	regulation of defense response to bacterium (GO:1900424)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:0035795	negative regulation of mitochondrial membrane permeability (GO:0035795)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:0070092	regulation of glucagon secretion (GO:0070092)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1904749	regulation of protein localization to nucleolus (GO:1904749)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0030853	negative regulation of granulocyte differentiation (GO:0030853)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0009310	amine catabolic process (GO:0009310)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:1904672	regulation of somatic stem cell population maintenance (GO:1904672)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0042749	regulation of circadian sleep/wake cycle (GO:0042749)	20	2	1.17	+	1.70	3.47E-01	9.82E-01
GO:0035588	G protein-coupled purinergic receptor signaling pathway (GO:0035588)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1905097	regulation of guanyl-nucleotide exchange factor activity (GO:1905097)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1904526	regulation of microtubule binding (GO:1904526)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0030643	cellular phosphate ion homeostasis (GO:0030643)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0055083	monovalent inorganic anion homeostasis (GO:0055083)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0055064	chloride ion homeostasis (GO:0055064)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0055015	ventricular cardiac muscle cell development (GO:0055015)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0043045	DNA methylation involved in embryo development (GO:0043045)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0009169	purine ribonucleoside monophosphate catabolic process (GO:0009169)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0009128	purine nucleoside monophosphate catabolic process (GO:0009128)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0010992	ubiquitin recycling (GO:0010992)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0010917	negative regulation of mitochondrial membrane potential (GO:0010917)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1903977	positive regulation of glial cell migration (GO:1903977)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0061626	pharyngeal arch artery morphogenesis (GO:0061626)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0150172	regulation of phosphatidylcholine metabolic process (GO:0150172)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0046886	positive regulation of hormone biosynthetic process (GO:0046886)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0062042	regulation of cardiac epithelial to mesenchymal transition (GO:0062042)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0010887	negative regulation of cholesterol storage (GO:0010887)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0042428	serotonin metabolic process (GO:0042428)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0042424	catecholamine catabolic process (GO:0042424)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0010866	regulation of triglyceride biosynthetic process (GO:0010866)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0042402	cellular biogenic amine catabolic process (GO:0042402)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0150076	neuroinflammatory response (GO:0150076)	40	4	2.35	+	1.70	3.07E-01	9.16E-01
GO:0046794	transport of virus (GO:0046794)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0034770	histone H4-K20 methylation (GO:0034770)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0097484	dendrite extension (GO:0097484)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060965	negative regulation of miRNA-mediated gene silencing (GO:0060965)	20	2	1.17	+	1.70	3.47E-01	9.81E-01
GO:0046689	response to mercury ion (GO:0046689)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1904181	positive regulation of membrane depolarization (GO:1904181)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0042276	error-prone translesion synthesis (GO:0042276)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0030277	maintenance of gastrointestinal epithelium (GO:0030277)	20	2	1.17	+	1.70	3.47E-01	9.80E-01
GO:0010662	regulation of striated muscle cell apoptotic process (GO:0010662)	40	4	2.35	+	1.70	3.07E-01	9.16E-01
GO:0010612	regulation of cardiac muscle adaptation (GO:0010612)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0061365	positive regulation of triglyceride lipase activity (GO:0061365)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0023035	CD40 signaling pathway (GO:0023035)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060837	blood vessel endothelial cell differentiation (GO:0060837)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0046548	retinal rod cell development (GO:0046548)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1904030	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0010522	regulation of calcium ion transport into cytosol (GO:0010522)	20	2	1.17	+	1.70	3.47E-01	9.80E-01
GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0003310	pancreatic A cell differentiation (GO:0003310)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0060716	labyrinthine layer blood vessel development (GO:0060716)	20	2	1.17	+	1.70	3.47E-01	9.80E-01
GO:0010496	intercellular transport (GO:0010496)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0014824	artery smooth muscle contraction (GO:0014824)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0014821	phasic smooth muscle contraction (GO:0014821)	20	2	1.17	+	1.70	3.47E-01	9.80E-01
GO:0010453	regulation of cell fate commitment (GO:0010453)	40	4	2.35	+	1.70	3.07E-01	9.15E-01
GO:0030002	cellular anion homeostasis (GO:0030002)	20	2	1.17	+	1.70	3.47E-01	9.80E-01
GO:1903441	protein localization to ciliary membrane (GO:1903441)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:1903421	regulation of synaptic vesicle recycling (GO:1903421)	20	2	1.17	+	1.70	3.47E-01	9.79E-01
GO:0019614	catechol-containing compound catabolic process (GO:0019614)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0034392	negative regulation of smooth muscle cell apoptotic process (GO:0034392)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0034379	very-low-density lipoprotein particle assembly (GO:0034379)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0034356	NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0010359	regulation of anion channel activity (GO:0010359)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0002711	positive regulation of T cell mediated immunity (GO:0002711)	60	6	3.52	+	1.70	1.82E-01	7.16E-01
GO:0060561	apoptotic process involved in morphogenesis (GO:0060561)	20	2	1.17	+	1.70	3.47E-01	9.79E-01
GO:1902884	positive regulation of response to oxidative stress (GO:1902884)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0072502	cellular trivalent inorganic anion homeostasis (GO:0072502)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0045639	positive regulation of myeloid cell differentiation (GO:0045639)	100	10	5.87	+	1.70	1.37E-01	6.44E-01
GO:0001776	leukocyte homeostasis (GO:0001776)	90	9	5.28	+	1.70	1.22E-01	5.86E-01
GO:0014020	primary neural tube formation (GO:0014020)	100	10	5.87	+	1.70	1.37E-01	6.44E-01
GO:0051646	mitochondrion localization (GO:0051646)	50	5	2.94	+	1.70	2.32E-01	8.08E-01
GO:0050819	negative regulation of coagulation (GO:0050819)	50	5	2.94	+	1.70	2.32E-01	8.08E-01
GO:0000165	MAPK cascade (GO:0000165)	220	22	12.92	+	1.70	2.26E-02	2.26E-01
GO:0042471	ear morphogenesis (GO:0042471)	130	13	7.63	+	1.70	6.71E-02	4.51E-01
GO:0045806	negative regulation of endocytosis (GO:0045806)	50	5	2.94	+	1.70	2.32E-01	8.07E-01
GO:0030030	cell projection organization (GO:0030030)	1161	116	68.17	+	1.70	1.36E-07	7.45E-06
GO:0023057	negative regulation of signaling (GO:0023057)	1363	136	80.04	+	1.70	1.09E-08	6.94E-07
GO:0071375	cellular response to peptide hormone stimulus (GO:0071375)	241	24	14.15	+	1.70	2.03E-02	2.09E-01
