GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0003689	DNA clamp loader activity (GO:0003689)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0008409	5'-3' exonuclease activity (GO:0008409)	18	2	1.06	+	1.89	3.05E-01	1.00E00
GO:0019966	interleukin-1 binding (GO:0019966)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0004017	adenylate kinase activity (GO:0004017)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0047045	testosterone 17-beta-dehydrogenase (NADP+) activity (GO:0047045)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity (GO:0047044)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0098988	G protein-coupled glutamate receptor activity (GO:0098988)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0008297	single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0008271	secondary active sulfate transmembrane transporter activity (GO:0008271)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0051400	BH domain binding (GO:0051400)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0070573	metallodipeptidase activity (GO:0070573)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0015379	potassium:chloride symporter activity (GO:0015379)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0031720	haptoglobin binding (GO:0031720)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0015217	ADP transmembrane transporter activity (GO:0015217)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0015168	glycerol transmembrane transporter activity (GO:0015168)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0015114	phosphate ion transmembrane transporter activity (GO:0015114)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0005337	nucleoside transmembrane transporter activity (GO:0005337)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0098641	cadherin binding involved in cell-cell adhesion (GO:0098641)	18	2	1.06	+	1.89	3.05E-01	1.00E00
GO:0016803	ether hydrolase activity (GO:0016803)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding (GO:0050656)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0052812	phosphatidylinositol-3,4-bisphosphate 5-kinase activity (GO:0052812)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0005225	volume-sensitive anion channel activity (GO:0005225)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0042975	peroxisome proliferator activated receptor binding (GO:0042975)	9	1	.53	+	1.89	4.35E-01	1.00E00
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	27	3	1.59	+	1.89	2.31E-01	1.00E00
GO:0001965	G-protein alpha-subunit binding (GO:0001965)	27	3	1.59	+	1.89	2.31E-01	1.00E00
GO:0033293	monocarboxylic acid binding (GO:0033293)	81	9	4.76	+	1.89	9.83E-02	1.00E00
GO:0005242	inward rectifier potassium channel activity (GO:0005242)	27	3	1.59	+	1.89	2.31E-01	1.00E00
GO:0004709	MAP kinase kinase kinase activity (GO:0004709)	27	3	1.59	+	1.89	2.31E-01	1.00E00
GO:0048020	CCR chemokine receptor binding (GO:0048020)	45	5	2.64	+	1.89	2.00E-01	1.00E00
GO:0022839	ion gated channel activity (GO:0022839)	45	5	2.64	+	1.89	2.00E-01	1.00E00
GO:0004180	carboxypeptidase activity (GO:0004180)	45	5	2.64	+	1.89	2.00E-01	1.00E00
GO:0001046	core promoter sequence-specific DNA binding (GO:0001046)	45	5	2.64	+	1.89	2.00E-01	1.00E00
GO:0030414	peptidase inhibitor activity (GO:0030414)	190	21	11.16	+	1.88	9.27E-03	3.47E-01
GO:0042626	ATPase-coupled transmembrane transporter activity (GO:0042626)	100	11	5.87	+	1.87	5.72E-02	9.28E-01
GO:0019003	GDP binding (GO:0019003)	73	8	4.29	+	1.87	8.95E-02	1.00E00
GO:0004713	protein tyrosine kinase activity (GO:0004713)	146	16	8.57	+	1.87	2.34E-02	5.95E-01
GO:0005516	calmodulin binding (GO:0005516)	201	22	11.80	+	1.86	7.82E-03	3.16E-01
GO:0004866	endopeptidase inhibitor activity (GO:0004866)	183	20	10.75	+	1.86	1.25E-02	4.30E-01
GO:0004725	protein tyrosine phosphatase activity (GO:0004725)	101	11	5.93	+	1.85	5.91E-02	9.51E-01
GO:0072341	modified amino acid binding (GO:0072341)	92	10	5.40	+	1.85	7.70E-02	1.00E00
GO:0043394	proteoglycan binding (GO:0043394)	37	4	2.17	+	1.84	2.87E-01	1.00E00
GO:0140678	molecular function inhibitor activity (GO:0140678)	93	10	5.46	+	1.83	7.92E-02	1.00E00
GO:0043178	alcohol binding (GO:0043178)	93	10	5.46	+	1.83	7.92E-02	1.00E00
GO:0001540	amyloid-beta binding (GO:0001540)	84	9	4.93	+	1.82	1.04E-01	1.00E00
GO:0043495	protein-membrane adaptor activity (GO:0043495)	28	3	1.64	+	1.82	2.46E-01	1.00E00
GO:0019207	kinase regulator activity (GO:0019207)	252	27	14.80	+	1.82	5.15E-03	2.25E-01
GO:0008237	metallopeptidase activity (GO:0008237)	187	20	10.98	+	1.82	1.41E-02	4.52E-01
GO:0061134	peptidase regulator activity (GO:0061134)	235	25	13.80	+	1.81	8.71E-03	3.33E-01
GO:0015079	potassium ion transmembrane transporter activity (GO:0015079)	160	17	9.40	+	1.81	2.96E-02	6.81E-01
GO:0004857	enzyme inhibitor activity (GO:0004857)	405	43	23.78	+	1.81	5.05E-04	4.26E-02
GO:0097110	scaffold protein binding (GO:0097110)	66	7	3.88	+	1.81	1.25E-01	1.00E00
GO:0031406	carboxylic acid binding (GO:0031406)	170	18	9.98	+	1.80	2.34E-02	6.00E-01
GO:0005496	steroid binding (GO:0005496)	104	11	6.11	+	1.80	6.53E-02	1.00E00
GO:0016922	nuclear receptor binding (GO:0016922)	142	15	8.34	+	1.80	3.49E-02	7.54E-01
GO:0004252	serine-type endopeptidase activity (GO:0004252)	180	19	10.57	+	1.80	1.89E-02	5.34E-01
GO:0016675	oxidoreductase activity, acting on a heme group of donors (GO:0016675)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0070064	proline-rich region binding (GO:0070064)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0061778	intracellular chloride channel activity (GO:0061778)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0022843	voltage-gated cation channel activity (GO:0022843)	152	16	8.93	+	1.79	3.93E-02	8.01E-01
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0005452	solute:inorganic anion antiporter activity (GO:0005452)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0016918	retinal binding (GO:0016918)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0005326	neurotransmitter transmembrane transporter activity (GO:0005326)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0005229	intracellular calcium activated chloride channel activity (GO:0005229)	19	2	1.12	+	1.79	3.26E-01	1.00E00
GO:0005509	calcium ion binding (GO:0005509)	735	77	43.16	+	1.78	4.75E-06	6.94E-04
GO:0008009	chemokine activity (GO:0008009)	48	5	2.82	+	1.77	2.18E-01	1.00E00
GO:0071814	protein-lipid complex binding (GO:0071814)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0071813	lipoprotein particle binding (GO:0071813)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0051787	misfolded protein binding (GO:0051787)	29	3	1.70	+	1.76	4.22E-01	1.00E00
GO:0099094	ligand-gated cation channel activity (GO:0099094)	117	12	6.87	+	1.75	7.80E-02	1.00E00
GO:0019840	isoprenoid binding (GO:0019840)	39	4	2.29	+	1.75	3.00E-01	1.00E00
GO:0005501	retinoid binding (GO:0005501)	39	4	2.29	+	1.75	3.00E-01	1.00E00
GO:0003924	GTPase activity (GO:0003924)	333	34	19.55	+	1.74	3.69E-03	1.78E-01
GO:0005198	structural molecule activity (GO:0005198)	796	81	46.74	+	1.73	7.43E-06	1.03E-03
GO:0140677	molecular function activator activity (GO:0140677)	59	6	3.46	+	1.73	1.75E-01	1.00E00
GO:0061135	endopeptidase regulator activity (GO:0061135)	197	20	11.57	+	1.73	2.43E-02	6.14E-01
GO:0042379	chemokine receptor binding (GO:0042379)	69	7	4.05	+	1.73	1.99E-01	1.00E00
GO:0042803	protein homodimerization activity (GO:0042803)	712	72	41.81	+	1.72	3.08E-05	3.65E-03
GO:0048306	calcium-dependent protein binding (GO:0048306)	89	9	5.23	+	1.72	1.19E-01	1.00E00
GO:0005096	GTPase activator activity (GO:0005096)	277	28	16.27	+	1.72	1.09E-02	3.99E-01
GO:0008236	serine-type peptidase activity (GO:0008236)	198	20	11.63	+	1.72	2.49E-02	6.26E-01
GO:0140297	DNA-binding transcription factor binding (GO:0140297)	488	49	28.66	+	1.71	7.51E-04	5.58E-02
GO:0005114	type II transforming growth factor beta receptor binding (GO:0005114)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	20	2	1.17	+	1.70	3.47E-01	1.00E00
GO:0016634	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0017002	activin receptor activity (GO:0017002)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0036122	BMP binding (GO:0036122)	20	2	1.17	+	1.70	3.47E-01	1.00E00
GO:0071723	lipopeptide binding (GO:0071723)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0043225	ATPase-coupled inorganic anion transmembrane transporter activity (GO:0043225)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0050308	sugar-phosphatase activity (GO:0050308)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0046974	histone methyltransferase activity (H3-K9 specific) (GO:0046974)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0046875	ephrin receptor binding (GO:0046875)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0004181	metallocarboxypeptidase activity (GO:0004181)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0070740	tubulin-glutamic acid ligase activity (GO:0070740)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0070739	protein-glutamic acid ligase activity (GO:0070739)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0019911	structural constituent of myelin sheath (GO:0019911)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0070717	poly-purine tract binding (GO:0070717)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0030296	protein tyrosine kinase activator activity (GO:0030296)	30	3	1.76	+	1.70	4.28E-01	1.00E00
GO:0008301	DNA binding, bending (GO:0008301)	20	2	1.17	+	1.70	3.47E-01	1.00E00
GO:0019870	potassium channel inhibitor activity (GO:0019870)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0005528	FK506 binding (GO:0005528)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0008190	eukaryotic initiation factor 4E binding (GO:0008190)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0008140	cAMP response element binding protein binding (GO:0008140)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0015279	store-operated calcium channel activity (GO:0015279)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0097027	ubiquitin-protein transferase activator activity (GO:0097027)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0097001	ceramide binding (GO:0097001)	20	2	1.17	+	1.70	3.47E-01	1.00E00
GO:0008035	high-density lipoprotein particle binding (GO:0008035)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0019531	oxalate transmembrane transporter activity (GO:0019531)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0005384	manganese ion transmembrane transporter activity (GO:0005384)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0016801	hydrolase activity, acting on ether bonds (GO:0016801)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0051139	metal cation:proton antiporter activity (GO:0051139)	20	2	1.17	+	1.70	3.47E-01	1.00E00
GO:0052813	phosphatidylinositol bisphosphate kinase activity (GO:0052813)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water (GO:0016717)	10	1	.59	+	1.70	4.66E-01	1.00E00
GO:0004620	phospholipase activity (GO:0004620)	110	11	6.46	+	1.70	1.06E-01	1.00E00
GO:0015932	nucleobase-containing compound transmembrane transporter activity (GO:0015932)	50	5	2.94	+	1.70	2.32E-01	1.00E00
GO:0004867	serine-type endopeptidase inhibitor activity (GO:0004867)	101	10	5.93	+	1.69	1.39E-01	1.00E00
GO:0005244	voltage-gated ion channel activity (GO:0005244)	202	20	11.86	+	1.69	3.69E-02	7.84E-01
GO:0017171	serine hydrolase activity (GO:0017171)	202	20	11.86	+	1.69	3.69E-02	7.81E-01
GO:0019901	protein kinase binding (GO:0019901)	708	70	41.57	+	1.68	6.13E-05	6.77E-03
GO:0022832	voltage-gated channel activity (GO:0022832)	203	20	11.92	+	1.68	3.74E-02	7.88E-01
GO:0019900	kinase binding (GO:0019900)	792	78	46.51	+	1.68	2.84E-05	3.53E-03
GO:0046983	protein dimerization activity (GO:0046983)	1059	104	62.19	+	1.67	1.30E-06	2.16E-04
GO:0008134	transcription factor binding (GO:0008134)	611	60	35.88	+	1.67	2.89E-04	2.82E-02
GO:0140657	ATP-dependent activity (GO:0140657)	562	55	33.00	+	1.67	6.34E-04	5.09E-02
GO:0004672	protein kinase activity (GO:0004672)	583	57	34.23	+	1.67	4.20E-04	3.73E-02
GO:0003925	G protein activity (GO:0003925)	41	4	2.41	+	1.66	3.15E-01	1.00E00
GO:0030331	nuclear estrogen receptor binding (GO:0030331)	41	4	2.41	+	1.66	3.15E-01	1.00E00
GO:0042169	SH2 domain binding (GO:0042169)	41	4	2.41	+	1.66	3.15E-01	1.00E00
GO:0071889	14-3-3 protein binding (GO:0071889)	31	3	1.82	+	1.65	4.35E-01	1.00E00
GO:0005267	potassium channel activity (GO:0005267)	124	12	7.28	+	1.65	1.27E-01	1.00E00
GO:0097367	carbohydrate derivative binding (GO:0097367)	2287	220	134.29	+	1.64	1.80E-12	1.49E-09
GO:0004386	helicase activity (GO:0004386)	157	15	9.22	+	1.63	9.05E-02	1.00E00
GO:0022836	gated channel activity (GO:0022836)	346	33	20.32	+	1.62	1.20E-02	4.16E-01
GO:0016502	nucleotide receptor activity (GO:0016502)	21	2	1.23	+	1.62	3.67E-01	1.00E00
GO:0050145	nucleoside monophosphate kinase activity (GO:0050145)	21	2	1.23	+	1.62	3.67E-01	1.00E00
GO:0001614	purinergic nucleotide receptor activity (GO:0001614)	21	2	1.23	+	1.62	3.67E-01	1.00E00
GO:0015298	solute:cation antiporter activity (GO:0015298)	42	4	2.47	+	1.62	3.23E-01	1.00E00
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	357	34	20.96	+	1.62	9.82E-03	3.65E-01
GO:0022834	ligand-gated channel activity (GO:0022834)	148	14	8.69	+	1.61	8.53E-02	1.00E00
GO:0015276	ligand-gated ion channel activity (GO:0015276)	148	14	8.69	+	1.61	8.53E-02	1.00E00
GO:0048018	receptor ligand activity (GO:0048018)	497	47	29.18	+	1.61	3.06E-03	1.52E-01
GO:0003697	single-stranded DNA binding (GO:0003697)	127	12	7.46	+	1.61	1.32E-01	1.00E00
GO:0003682	chromatin binding (GO:0003682)	605	57	35.53	+	1.60	9.89E-04	6.74E-02
GO:0017111	ribonucleoside triphosphate phosphatase activity (GO:0017111)	682	64	40.05	+	1.60	5.82E-04	4.75E-02
GO:0090482	vitamin transmembrane transporter activity (GO:0090482)	32	3	1.88	+	1.60	4.42E-01	1.00E00
GO:1990841	promoter-specific chromatin binding (GO:1990841)	64	6	3.76	+	1.60	2.85E-01	1.00E00
GO:0005102	signaling receptor binding (GO:0005102)	1602	150	94.07	+	1.59	6.17E-08	1.71E-05
GO:0005125	cytokine activity (GO:0005125)	235	22	13.80	+	1.59	3.93E-02	7.99E-01
GO:0051087	chaperone binding (GO:0051087)	107	10	6.28	+	1.59	1.54E-01	1.00E00
GO:0030546	signaling receptor activator activity (GO:0030546)	504	47	29.60	+	1.59	3.33E-03	1.62E-01
GO:0043014	alpha-tubulin binding (GO:0043014)	43	4	2.52	+	1.58	3.31E-01	1.00E00
GO:0032559	adenyl ribonucleotide binding (GO:0032559)	1559	145	91.55	+	1.58	1.87E-07	4.23E-05
GO:0030554	adenyl nucleotide binding (GO:0030554)	1571	146	92.25	+	1.58	1.56E-07	3.69E-05
GO:0016301	kinase activity (GO:0016301)	765	71	44.92	+	1.58	3.65E-04	3.31E-02
GO:0004896	cytokine receptor activity (GO:0004896)	97	9	5.70	+	1.58	1.96E-01	1.00E00
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	745	69	43.75	+	1.58	4.25E-04	3.71E-02
GO:0016817	hydrolase activity, acting on acid anhydrides (GO:0016817)	745	69	43.75	+	1.58	4.25E-04	3.64E-02
GO:1901505	carbohydrate derivative transmembrane transporter activity (GO:1901505)	54	5	3.17	+	1.58	3.82E-01	1.00E00
GO:0030295	protein kinase activator activity (GO:0030295)	119	11	6.99	+	1.57	1.73E-01	1.00E00
GO:0002020	protease binding (GO:0002020)	141	13	8.28	+	1.57	1.12E-01	1.00E00
GO:0016298	lipase activity (GO:0016298)	131	12	7.69	+	1.56	1.40E-01	1.00E00
GO:0019001	guanyl nucleotide binding (GO:0019001)	404	37	23.72	+	1.56	1.15E-02	4.10E-01
GO:0032561	guanyl ribonucleotide binding (GO:0032561)	404	37	23.72	+	1.56	1.15E-02	4.07E-01
GO:0016462	pyrophosphatase activity (GO:0016462)	743	68	43.63	+	1.56	7.25E-04	5.55E-02
GO:0044877	protein-containing complex binding (GO:0044877)	1312	120	77.04	+	1.56	5.07E-06	7.21E-04
GO:0032555	purine ribonucleotide binding (GO:0032555)	1909	174	112.10	+	1.55	2.67E-08	1.02E-05
GO:0017076	purine nucleotide binding (GO:0017076)	1923	175	112.92	+	1.55	2.90E-08	1.03E-05
GO:0005524	ATP binding (GO:0005524)	1495	136	87.79	+	1.55	1.54E-06	2.48E-04
GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0004690	cyclic nucleotide-dependent protein kinase activity (GO:0004690)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0070097	delta-catenin binding (GO:0070097)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0005078	MAP-kinase scaffold activity (GO:0005078)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0016595	glutamate binding (GO:0016595)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0047429	nucleoside triphosphate diphosphatase activity (GO:0047429)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0061665	SUMO ligase activity (GO:0061665)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0008526	phosphatidylinositol transfer activity (GO:0008526)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0008519	ammonium transmembrane transporter activity (GO:0008519)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0004143	diacylglycerol kinase activity (GO:0004143)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0015651	quaternary ammonium group transmembrane transporter activity (GO:0015651)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0015643	toxic substance binding (GO:0015643)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0030283	testosterone dehydrogenase [NAD(P)] activity (GO:0030283)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0031996	thioesterase binding (GO:0031996)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0019855	calcium channel inhibitor activity (GO:0019855)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0000774	adenyl-nucleotide exchange factor activity (GO:0000774)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0009931	calcium-dependent protein serine/threonine kinase activity (GO:0009931)	22	2	1.29	+	1.55	3.88E-01	1.00E00
GO:0070513	death domain binding (GO:0070513)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0008199	ferric iron binding (GO:0008199)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0050786	RAGE receptor binding (GO:0050786)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0015106	bicarbonate transmembrane transporter activity (GO:0015106)	22	2	1.29	+	1.55	3.88E-01	1.00E00
GO:0048407	platelet-derived growth factor binding (GO:0048407)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0016868	intramolecular transferase activity, phosphotransferases (GO:0016868)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:1990459	transferrin receptor binding (GO:1990459)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0043522	leucine zipper domain binding (GO:0043522)	11	1	.65	+	1.55	4.96E-01	1.00E00
GO:0031369	translation initiation factor binding (GO:0031369)	33	3	1.94	+	1.55	4.50E-01	1.00E00
GO:0008200	ion channel inhibitor activity (GO:0008200)	33	3	1.94	+	1.55	4.50E-01	1.00E00
GO:0005251	delayed rectifier potassium channel activity (GO:0005251)	33	3	1.94	+	1.55	4.50E-01	1.00E00
GO:0008047	enzyme activator activity (GO:0008047)	575	52	33.76	+	1.54	4.38E-03	2.08E-01
GO:0032553	ribonucleotide binding (GO:0032553)	1926	174	113.10	+	1.54	5.23E-08	1.62E-05
GO:0004674	protein serine/threonine kinase activity (GO:0004674)	433	39	25.43	+	1.53	1.41E-02	4.50E-01
GO:0015081	sodium ion transmembrane transporter activity (GO:0015081)	156	14	9.16	+	1.53	1.28E-01	1.00E00
GO:0016773	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	692	62	40.63	+	1.53	1.99E-03	1.13E-01
GO:0035639	purine ribonucleoside triphosphate binding (GO:0035639)	1839	164	107.99	+	1.52	2.72E-07	5.64E-05
GO:0098772	molecular function regulator activity (GO:0098772)	2031	181	119.26	+	1.52	6.16E-08	1.80E-05
GO:0046873	metal ion transmembrane transporter activity (GO:0046873)	438	39	25.72	+	1.52	1.49E-02	4.72E-01
GO:0005261	cation channel activity (GO:0005261)	349	31	20.49	+	1.51	3.10E-02	7.01E-01
GO:0042826	histone deacetylase binding (GO:0042826)	124	11	7.28	+	1.51	1.84E-01	1.00E00
GO:0030545	signaling receptor regulator activity (GO:0030545)	553	49	32.47	+	1.51	8.48E-03	3.32E-01
GO:0003730	mRNA 3'-UTR binding (GO:0003730)	102	9	5.99	+	1.50	2.13E-01	1.00E00
GO:0030332	cyclin binding (GO:0030332)	34	3	2.00	+	1.50	4.59E-01	1.00E00
GO:0008376	acetylgalactosaminyltransferase activity (GO:0008376)	34	3	2.00	+	1.50	4.59E-01	1.00E00
GO:0005548	phospholipid transporter activity (GO:0005548)	68	6	3.99	+	1.50	3.05E-01	1.00E00
GO:0019209	kinase activator activity (GO:0019209)	125	11	7.34	+	1.50	1.87E-01	1.00E00
GO:0106310	protein serine kinase activity (GO:0106310)	364	32	21.37	+	1.50	3.43E-02	7.45E-01
GO:0004601	peroxidase activity (GO:0004601)	57	5	3.35	+	1.49	3.94E-01	1.00E00
GO:0030374	nuclear receptor coactivator activity (GO:0030374)	57	5	3.35	+	1.49	3.94E-01	1.00E00
GO:0140097	catalytic activity, acting on DNA (GO:0140097)	251	22	14.74	+	1.49	8.16E-02	1.00E00
GO:0042802	identical protein binding (GO:0042802)	2146	188	126.01	+	1.49	9.75E-08	2.55E-05
GO:0043168	anion binding (GO:0043168)	2416	211	141.87	+	1.49	1.55E-08	6.43E-06
GO:0140664	ATP-dependent DNA damage sensor activity (GO:0140664)	23	2	1.35	+	1.48	6.47E-01	1.00E00
GO:0004602	glutathione peroxidase activity (GO:0004602)	23	2	1.35	+	1.48	6.47E-01	1.00E00
GO:0016504	peptidase activator activity (GO:0016504)	46	4	2.70	+	1.48	3.58E-01	1.00E00
GO:0010857	calcium-dependent protein kinase activity (GO:0010857)	23	2	1.35	+	1.48	6.47E-01	1.00E00
GO:0035035	histone acetyltransferase binding (GO:0035035)	23	2	1.35	+	1.48	6.47E-01	1.00E00
GO:1901567	fatty acid derivative binding (GO:1901567)	23	2	1.35	+	1.48	6.47E-01	1.00E00
GO:0005525	GTP binding (GO:0005525)	382	33	22.43	+	1.47	3.87E-02	8.06E-01
GO:0000166	nucleotide binding (GO:0000166)	2170	187	127.42	+	1.47	3.14E-07	6.24E-05
GO:1901265	nucleoside phosphate binding (GO:1901265)	2171	187	127.48	+	1.47	3.17E-07	6.07E-05
GO:0140658	ATP-dependent chromatin remodeler activity (GO:0140658)	35	3	2.06	+	1.46	4.67E-01	1.00E00
GO:0030276	clathrin binding (GO:0030276)	70	6	4.11	+	1.46	3.16E-01	1.00E00
GO:0016887	ATP hydrolysis activity (GO:0016887)	350	30	20.55	+	1.46	5.34E-02	9.42E-01
GO:0046982	protein heterodimerization activity (GO:0046982)	327	28	19.20	+	1.46	6.03E-02	9.62E-01
GO:0042578	phosphoric ester hydrolase activity (GO:0042578)	375	32	22.02	+	1.45	4.81E-02	8.79E-01
GO:0015297	antiporter activity (GO:0015297)	94	8	5.52	+	1.45	2.78E-01	1.00E00
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	47	4	2.76	+	1.45	3.67E-01	1.00E00
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	59	5	3.46	+	1.44	4.04E-01	1.00E00
GO:0001653	peptide receptor activity (GO:0001653)	154	13	9.04	+	1.44	2.30E-01	1.00E00
GO:0036094	small molecule binding (GO:0036094)	2515	210	147.68	+	1.42	4.95E-07	9.12E-05
GO:0061733	peptide-lysine-N-acetyltransferase activity (GO:0061733)	36	3	2.11	+	1.42	4.76E-01	1.00E00
GO:0004529	exodeoxyribonuclease activity (GO:0004529)	24	2	1.41	+	1.42	6.54E-01	1.00E00
GO:0035251	UDP-glucosyltransferase activity (GO:0035251)	12	1	.70	+	1.42	5.24E-01	1.00E00
GO:0070840	dynein complex binding (GO:0070840)	24	2	1.41	+	1.42	6.54E-01	1.00E00
GO:0046790	virion binding (GO:0046790)	12	1	.70	+	1.42	5.24E-01	1.00E00
GO:0042301	phosphate ion binding (GO:0042301)	12	1	.70	+	1.42	5.24E-01	1.00E00
GO:0032396	inhibitory MHC class I receptor activity (GO:0032396)	12	1	.70	+	1.42	5.24E-01	1.00E00
GO:0043855	cyclic nucleotide-gated ion channel activity (GO:0043855)	12	1	.70	+	1.42	5.24E-01	1.00E00
GO:0019789	SUMO transferase activity (GO:0019789)	24	2	1.41	+	1.42	6.54E-01	1.00E00
GO:0005540	hyaluronic acid binding (GO:0005540)	24	2	1.41	+	1.42	6.54E-01	1.00E00
GO:0005527	macrolide binding (GO:0005527)	12	1	.70	+	1.42	5.24E-01	1.00E00
